"epsilon","switch_rate","res_time","variable","panel","value","epsilon_fac","exp_res_fac"
0.3,0.0336426914153132,29.7241379310345,"ptI","diff",3.50409360624041,"0.3","29.72"
0.35,0.0336426914153132,29.7241379310345,"ptI","diff",2.504026935129,"0.35","29.72"
0.4,0.0336426914153132,29.7241379310345,"ptI","diff",1.50396026401759,"0.4","29.72"
0.45,0.0336426914153132,29.7241379310345,"ptI","diff",0.503893592906188,"0.45","29.72"
0.5,0.0336426914153132,29.7241379310345,"ptI","diff",-0.29615974398294,"0.5","29.72"
0.55,0.0336426914153132,29.7241379310345,"ptI","diff",-1.29622641509435,"0.55","29.72"
0.6,0.0336426914153132,29.7241379310345,"ptI","diff",-2.29629308620575,"0.6","29.72"
0.65,0.0336426914153132,29.7241379310345,"ptI","diff",-3.29635975731716,"0.65","29.72"
0.7,0.0336426914153132,29.7241379310345,"ptI","diff",-4.29642642842857,"0.7","29.72"
0.75,0.0336426914153132,29.7241379310345,"ptI","diff",-5.29649309953997,"0.75","29.72"
0.8,0.0336426914153132,29.7241379310345,"ptI","diff",-6.29655977065138,"0.8","29.72"
0.85,0.0336426914153132,29.7241379310345,"ptI","diff",-7.29662644176279,"0.85","29.72"
0.9,0.0336426914153132,29.7241379310345,"ptI","diff",-8.49670644709648,"0.9","29.72"
0.95,0.0336426914153132,29.7241379310345,"ptI","diff",-9.69678645243017,"0.95","29.72"
1,0.0336426914153132,29.7241379310345,"ptI","diff",-11.0968797919861,"1","29.72"
0,0.0318331503841932,31.4137931034483,"ptI","diff",8.50442696179745,"0","31.41"
0.05,0.0318331503841932,31.4137931034483,"ptI","diff",7.50436029068604,"0.05","31.41"
0.1,0.0318331503841932,31.4137931034483,"ptI","diff",6.70430695379692,"0.1","31.41"
0.15,0.0318331503841932,31.4137931034483,"ptI","diff",5.7042402826855,"0.15","31.41"
0.2,0.0318331503841932,31.4137931034483,"ptI","diff",4.90418694579638,"0.2","31.41"
0.25,0.0318331503841932,31.4137931034483,"ptI","diff",3.90412027468497,"0.25","31.41"
0.3,0.0318331503841932,31.4137931034483,"ptI","diff",2.90405360357357,"0.3","31.41"
0.35,0.0318331503841932,31.4137931034483,"ptI","diff",2.10400026668444,"0.35","31.41"
0.4,0.0318331503841932,31.4137931034483,"ptI","diff",1.10393359557303,"0.4","31.41"
0.45,0.0318331503841932,31.4137931034483,"ptI","diff",0.103866924461627,"0.45","31.41"
0.5,0.0318331503841932,31.4137931034483,"ptI","diff",-0.696186412427501,"0.5","31.41"
0.55,0.0318331503841932,31.4137931034483,"ptI","diff",-1.69625308353891,"0.55","31.41"
0.6,0.0318331503841932,31.4137931034483,"ptI","diff",-2.69631975465032,"0.6","31.41"
0.65,0.0318331503841932,31.4137931034483,"ptI","diff",-3.69638642576172,"0.65","31.41"
0.7,0.0318331503841932,31.4137931034483,"ptI","diff",-4.69645309687313,"0.7","31.41"
0.75,0.0318331503841932,31.4137931034483,"ptI","diff",-5.69651976798454,"0.75","31.41"
0.8,0.0318331503841932,31.4137931034483,"ptI","diff",-6.69658643909595,"0.8","31.41"
0.85,0.0318331503841932,31.4137931034483,"ptI","diff",-7.69665311020735,"0.85","31.41"
0.9,0.0318331503841932,31.4137931034483,"ptI","diff",-8.89673311554104,"0.9","31.41"
0.95,0.0318331503841932,31.4137931034483,"ptI","diff",-10.296826455097,"0.95","31.41"
1,0.0318331503841932,31.4137931034483,"ptI","diff",-11.4969064604307,"1","31.41"
0,0.0302083333333333,33.1034482758621,"ptI","diff",7.9043869591306,"0","33.1"
0.05,0.0302083333333333,33.1034482758621,"ptI","diff",7.10433362224148,"0.05","33.1"
0.1,0.0302083333333333,33.1034482758621,"ptI","diff",6.30428028535235,"0.1","33.1"
0.15,0.0302083333333333,33.1034482758621,"ptI","diff",5.30421361424094,"0.15","33.1"
0.2,0.0302083333333333,33.1034482758621,"ptI","diff",4.30414694312954,"0.2","33.1"
0.25,0.0302083333333333,33.1034482758621,"ptI","diff",3.50409360624041,"0.25","33.1"
0.3,0.0302083333333333,33.1034482758621,"ptI","diff",2.504026935129,"0.3","33.1"
0.35,0.0302083333333333,33.1034482758621,"ptI","diff",1.70397359823988,"0.35","33.1"
0.4,0.0302083333333333,33.1034482758621,"ptI","diff",0.703906927128472,"0.4","33.1"
0.45,0.0302083333333333,33.1034482758621,"ptI","diff",-0.29615974398294,"0.45","33.1"
0.5,0.0302083333333333,33.1034482758621,"ptI","diff",-1.09621308087206,"0.5","33.1"
0.55,0.0302083333333333,33.1034482758621,"ptI","diff",-2.09627975198347,"0.55","33.1"
0.6,0.0302083333333333,33.1034482758621,"ptI","diff",-3.09634642309488,"0.6","33.1"
